model_no,chipset,memory,memory_type,core_clock,boost_clock
40426,GeForce RTX 4080 SUPER,16,,2210,2580
40427,GeForce RTX 4070 Ti,12,,2310,2745
40428,GeForce RTX 4070 Ti SUPER,16,,2340,2685
40429,Radeon RX 6700 XT,12,,2321,2622
40430,Radeon RX 580,8,,1257,1411
40431,Radeon RX 6700 XT,12,,2321,2581
40432,GeForce RTX 4070 SUPER,12,,1980,2475
40433,GeForce RTX 4070 SUPER,12,,1980,2565
40434,GeForce RTX 2080 SUPER,8,,1650,1815
40435,GeForce RTX 4070 Ti,12,,2310,2625
40436,Radeon RX 7700 XT,12,,1700,2599
40437,GeForce RTX 3060 12GB,12,,1320,1837
40438,GeForce GTX 1650 SUPER,4,,1530,1800
40439,Radeon RX 7800 XT,16,,1295,2520
40440,GeForce RTX 3060 Ti,8,,1410,1695
40441,GeForce GTX 1060 3GB,3,,1544,1759
40442,GeForce RTX 3070 Ti,8,,1575,
40443,GeForce RTX 3050 8GB,8,,1550,1852
40444,Radeon RX 7700 XT,12,,1700,2599
40445,GeForce RTX 3090 Ti,24,,1560,1920
40446,GeForce RTX 4060 Ti,8,,2310,2565
40447,GeForce RTX 3070 Ti,8,,1575,1815
40448,GeForce RTX 3070 Ti,8,,1575,1815
40449,GeForce RTX 4070 SUPER,12,,1980,2655
40450,Radeon RX 5700 XT,8,,1605,1905
40451,GeForce RTX 2070 SUPER,8,,1605,1815
40452,Quadro RTX 8000,48,,1395,1770
40453,GeForce RTX 4070 SUPER,12,,1980,2505
40454,Radeon RX 6500 XT,4,,2310,2825
40455,GeForce RTX 3080 10GB,10,,1440,1725
40456,GeForce RTX 3090,24,,1395,1890
40457,Arc A380,6,,2000,2000
40458,Radeon RX 6800 XT,16,,1825,2340
40459,GeForce RTX 4070,12,,1920,2490
40460,GeForce GTX 1060 6GB,6,,1506,1809
40461,Radeon RX 6800 XT,16,,1825,2360
40462,GeForce GTX 1650 G6,4,,1410,1635
40463,Radeon RX 5700 XT,8,,1770,2010
40464,RTX A4000,16,,735,1560
40465,GeForce RTX 2060 SUPER,8,,1470,1815
40466,GeForce GT 1030,2,,1290,1544
40467,GeForce RTX 4070 SUPER,12,,1980,2475
40468,GeForce RTX 4070,12,,1920,2505
40469,RTX A2000 12GB,12,,562,1200
40470,GeForce RTX 4060,8,,1830,2580
40471,GeForce GTX 1080,8,,1670,1835
40472,GeForce RTX 4070,12,,1920,2550
40473,GeForce RTX 4070,12,,1920,2550
40474,GeForce RTX 3060 8GB,8,,1320,1777
40475,GeForce RTX 4090,24,,2235,2535
40476,GeForce RTX 3070 Ti,8,,1575,1770
40477,GeForce RTX 4080,16,,2205,2520
40478,Radeon RX 6600 XT,8,,2092,2589
40479,GeForce RTX 3080 Ti,12,,1365,1695
40480,Radeon PRO W7900,48,,1855,2495
40481,GeForce GTX 1660 SUPER,6,,1530,1830
40482,GeForce GTX 1660,6,,1530,1785
40483,GeForce RTX 4060 Ti,8,,2310,
40484,Radeon RX 6700 XT,12,,2321,
40485,GeForce RTX 2060,6,,1365,1785
40486,GeForce RTX 4070 SUPER,12,,1980,2475
40487,GeForce GTX 1070 Ti,8,,1607,1683
40488,Radeon RX 6900 XT,16,,1825,2340
40489,GeForce GTX 1080 Ti,11,,1569,1683
40490,GeForce RTX 4080 SUPER,16,,2210,2580
40491,GeForce RTX 3070,8,,1500,1845
40492,Radeon RX 7900 GRE,16,,1270,2366
40493,Radeon RX 6750 XT,12,,2150,2618
40494,GeForce RTX 4070 Ti,12,,2310,2655
40495,GeForce RTX 2060,6,,1365,1710
40496,GeForce RTX 4070 Ti SUPER,16,,2340,2610
40497,GeForce RTX 3090,24,,1395,
40498,GeForce RTX 3060 12GB,12,,1320,
40499,GeForce RTX 2070 SUPER,8,,1605,1800
40500,GeForce RTX 3080 Ti,12,,1365,1770
40501,GeForce GTX 1050 Ti,4,,1366,1506
40502,GeForce RTX 2070 SUPER,8,,1605,1770
40503,GeForce RTX 4080 SUPER,16,,2210,2610
40504,Radeon RX 7600,8,,1720,2725
40505,GeForce RTX 4060 Ti,16,,2310,2655
40506,GeForce RTX 4060 Ti,16,,2310,2745
40507,GeForce RTX 4070 Ti,12,,2310,2670
40508,Radeon RX 6750 XT,12,,2150,2623
40509,GeForce GTX 1060 6GB,6,,1607,1835
40510,GeForce RTX 2070,8,,1410,1845
40511,GeForce RTX 4070 Ti,12,,2310,2655
40512,GeForce RTX 4070 Ti,12,,2310,2640
40513,Radeon RX 6900 XT,16,,1950,2365
40514,GeForce RTX 3070 Ti,8,,1575,1830
40515,Radeon RX 6700 XT,12,,2321,2622
40516,GeForce GTX 1660 Ti,6,,1500,1845
40517,GeForce RTX 2070,8,,1410,1620
40518,Radeon RX 6600,8,,1626,2491
40519,Radeon RX 7900 XT,20,,2000,2400
40520,GeForce RTX 3070,8,,1500,1905
40521,Radeon RX 5500 XT,8,,1647,1845
40522,Radeon RX 6650 XT,8,,2055,2694
40523,Radeon RX 7900 GRE,16,,1270,2391
40524,GeForce RTX 2080 SUPER,8,,1650,1815
40525,GeForce GTX 1070,8,,1582,1797
40526,Radeon RX 7600 XT,16,,1720,2810
40527,GeForce RTX 2060 12GB,12,,1470,1695
40528,TITAN RTX,24,,1350,1770
