model_no,capacity,price_per_gb,type,cache,form_factor,interface
90333,2000,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90334,1000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90335,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90336,1000,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90337,2000,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90338,240,0.121,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90339,250,0.348,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
90340,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90341,240,0.125,SSD,,2.5,SATA 6.0 Gb/s
90342,8000,0.022,HDD,128,3.5,SATA 6.0 Gb/s
90343,4000,0.049,SSD,,2.5,SATA 6.0 Gb/s
90344,1000,0.19,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90345,4000,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90346,3000,0.028,HDD,64,3.5,SATA 6.0 Gb/s
90347,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90348,4000,,5900,64,3.5,SATA 6.0 Gb/s
90349,240,0.215,SSD,,2.5,SATA 6.0 Gb/s
90350,2000,0.049,SSD,,2.5,SATA 6.0 Gb/s
90351,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90352,512,0.059,SSD,,2.5,SATA 6.0 Gb/s
90353,2000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90354,2000,0.128,SSD,2048,2.5,SATA 6.0 Gb/s
90355,1000,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90356,1000,0.113,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90357,1000,0.055,SSD,,2.5,SATA 6.0 Gb/s
90358,500,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90359,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90360,2000,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90361,512,0.391,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
90362,12000,0.019,HDD,256,3.5,SATA 6.0 Gb/s
90363,2000,0.062,,,2.5,SATA 6.0 Gb/s
90364,500,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90365,8000,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90366,2000,0.157,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90367,1000,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90368,4000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
90369,512,0.112,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90370,8000,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90371,20000,0.019,HDD,512,3.5,SATA 6.0 Gb/s
90372,14000,0.017,HDD,256,3.5,SATA 6.0 Gb/s
90373,4000,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90374,500,0.15,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90375,1000,0.092,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90376,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90377,1000,0.082,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90378,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90379,250,0.52,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
90380,500,0.168,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90381,500,0.046,HDD,16,3.5,SATA 6.0 Gb/s
90382,2000,0.053,SSD,,2.5,SATA 6.0 Gb/s
90383,500,0.146,SSD,,M.2-2280,M.2 PCIe 4.0 X4
