model_no,type,psu,side_panel,external_volume,internal_35_bays
14486,ATX Mid Tower,ATX,,,2
14487,Mini ITX Desktop,SFX,,,1
14488,Mini ITX Desktop,SFX,,,1
14489,MicroATX Mini Tower,ATX,,,2
14490,MicroATX Mini Tower,ATX,Acrylic,,3
14491,MicroATX Mini Tower,ATX,Acrylic,,3
14492,ATX Mid Tower,ATX,,,3
14493,Mini ITX Tower,SFX,,,2
14494,ATX Mid Tower,ATX,Acrylic,,3
14495,ATX Mid Tower,ATX,Acrylic,,3
14496,ATX Mid Tower,ATX,Acrylic,,6
14497,ATX Mid Tower,ATX,Acrylic,,6
14498,ATX Mid Tower,ATX,Acrylic,,2
14499,ATX Mid Tower,ATX,,,6
14500,ATX Mid Tower,ATX,Acrylic,,4
14501,ATX Mid Tower,ATX,Acrylic,,4
14502,ATX Mid Tower,ATX,Acrylic,,4
14503,ATX Mid Tower,ATX,Acrylic,,4
14504,ATX Mid Tower,ATX,Acrylic,,4
14505,ATX Mid Tower,ATX,Acrylic,,3
14506,ATX Mid Tower,ATX,Acrylic,,2
14507,ATX Mid Tower,ATX,Tinted Acrylic,45.9,2
14508,ATX Mid Tower,ATX,Tinted Tempered Glass,45.9,2
14509,ATX Mid Tower,ATX,Acrylic,,3
14510,ATX Mid Tower,ATX,Acrylic,,3
14511,MicroATX Mid Tower,ATX,,,1
14512,MicroATX Mid Tower,ATX,Acrylic,,4
14513,MicroATX Mini Tower,ATX,Acrylic,,2
14514,ATX Mid Tower,ATX,,,6
14515,ATX Mid Tower,ATX,,,3
14516,ATX Mid Tower,ATX,,,0
14517,ATX Mid Tower,ATX,,,3
14518,MicroATX Mid Tower,ATX,Acrylic,,2
14519,ATX Mid Tower,ATX,Acrylic,,3
14520,ATX Mid Tower,ATX,Acrylic,,2
14521,MicroATX Desktop,ATX,Acrylic,,2
14522,MicroATX Desktop,ATX,,,2
14523,MicroATX Desktop,ATX,Acrylic,,2
14524,ATX Full Tower,ATX,,,4
14525,ATX Full Tower,ATX,Acrylic,,4
14526,ATX Mini Tower,ATX,,,2
14527,MicroATX Mid Tower,ATX,Acrylic,,2
14528,ATX Mid Tower,ATX,Acrylic,70.3,4
14529,ATX Mid Tower,ATX,Acrylic,70.3,4
14530,ATX Mid Tower,ATX,Acrylic,,3
14531,ATX Mid Tower,ATX,Acrylic,,3
14532,ATX Full Tower,ATX,Acrylic,,8
14533,ATX Mid Tower,ATX,,,6
14534,ATX Full Tower,ATX,Acrylic,97.3,8
14535,ATX Mid Tower,ATX,Tempered Glass,38,2
14536,ATX Mid Tower,ATX,Acrylic,30.7,2
14537,ATX Full Tower,ATX,Acrylic,59.5,4
14538,ATX Full Tower,ATX,Tempered Glass,71.6,5
14539,ATX Mid Tower,ATX,Acrylic,,2
14540,ATX Mid Tower,ATX,Acrylic,45.9,8
14541,ATX Mid Tower,ATX,,37.9,4
14542,ATX Mid Tower,ATX,Acrylic,37.9,4
14543,ATX Mid Tower,ATX,Acrylic,46.4,3
